urls,male,female,university,college,intermediate,education_not_required,banking,insurance,security,real_estate,employee,observer,manager,chief_manager,age,min_age,max_age,min_exp,max_exp,min_salary,max_salary
https://careerbuilder.vn/vi/tim-viec-lam/project-development-manager-real-estates.35B7B6D7.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,35 - 55,35,55,10,30,55,77
https://careerbuilder.vn/vi/tim-viec-lam/deputy-manager-of-investment-and-asset-management-industrial-real-estate.35B76CBE.html,0,0,1,0,0,0,0,0,0,1,0,1,0,0,not_limited,not_limited,not_limited,7,10,55,77
https://careerbuilder.vn/vi/tim-viec-lam/senior-sales-manager-hcmc.35B731AD.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,25 - 30,25,30,2,5,55,66
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-thu-nhap-tu-50-100-trieu.35B74FA8.html,0,0,0,1,0,0,0,1,0,1,0,0,1,0,28 - 45,28,45,2,3,50,100
https://careerbuilder.vn/vi/tim-viec-lam/business-development-manager-factory-construction-industrial-epc.35B79A04.html,1,0,0,1,0,0,0,0,0,1,0,0,1,0,30 - 49,30,49,15,30,50,85
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-phap-che.35B7AD66.html,0,0,1,0,0,0,0,0,1,1,0,0,1,0,28 - 45,28,45,6,10,50,80
https://careerbuilder.vn/vi/tim-viec-lam/giam-doc-phap-ly-tap-doan-bat-dong-san.35B7954E.html,0,0,1,0,0,0,0,0,0,1,0,0,0,1,30 - 45,30,45,5,10,50,80
https://careerbuilder.vn/vi/tim-viec-lam/project-legal-manager-licensing-manager.35B7BBB1.html,1,0,1,0,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,10,20,50,70
https://careerbuilder.vn/vi/tim-viec-lam/giam-doc-marketing.35B7C125.html,0,1,1,0,0,0,0,0,0,1,0,0,0,1,not_limited,not_limited,not_limited,10,20,50,70
https://careerbuilder.vn/vi/tim-viec-lam/senior-sales-manager-real-esate.35B728D4.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,5,20,50,70
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-phap-che-bat-dong-san.35B7678B.html,0,1,1,0,0,0,0,0,0,1,0,0,1,0,40 - 45,40,45,0,10,44,66
https://careerbuilder.vn/vi/tim-viec-lam/q2-hcm-product-manager-fintech.35B7676D.html,0,0,1,0,0,0,1,0,0,0,0,0,1,0,not_limited,not_limited,not_limited,3,5,44,55
https://careerbuilder.vn/vi/tim-viec-lam/senior-consultant-sap-consulting-fico-pp-hcm-sd-mm-technology.35B722CD.html,0,0,1,0,0,0,1,0,0,0,0,1,0,0,not_limited,not_limited,not_limited,6,7,44,55
https://careerbuilder.vn/vi/tim-viec-lam/giam-doc-san.35B740AA.html,0,0,0,1,0,0,0,0,0,1,0,0,0,1,30 - 40,30,40,2,3,40,100
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-phap-ly.35B7957A.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,5,10,40,80
https://careerbuilder.vn/vi/tim-viec-lam/head-of-treasury-and-cash-management.35B79C1E.html,0,0,0,0,0,1,1,0,0,0,0,1,0,0,not_limited,not_limited,not_limited,5,10,40,70
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-quan-tri-dau-tu.35B755DB.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,3,15,40,70
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-truong-tap-doan.35B225CF.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,28 - 45,28,45,5,10,40,60
https://careerbuilder.vn/vi/tim-viec-lam/giam-doc-marketing-chu-dau-tu-bds.35B79948.html,0,1,1,0,0,0,0,0,0,1,0,0,0,1,not_limited,not_limited,not_limited,10,20,40,60
https://careerbuilder.vn/vi/tim-viec-lam/regional-construction-manager.35B797B9.html,0,0,1,0,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,4,5,40,60
https://careerbuilder.vn/vi/tim-viec-lam/truong-bo-phan-quan-ly-thiet-ke-kien-truc.35B7C2F8.html,1,0,1,0,0,0,0,0,0,1,0,0,1,0,33 - 45,33,45,10,20,40,50
https://careerbuilder.vn/vi/tim-viec-lam/structural-design-manager.35B7964B.html,0,0,0,1,0,0,0,0,0,1,0,0,1,0,not_limited,not_limited,not_limited,10,20,40,50
https://careerbuilder.vn/vi/tim-viec-lam/commercial-leasing-korean-japanese-speaking.35B7C2CA.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,5,10,40,50
