Date,EUR,GBP,JPY
12/14/1998,0.846806,0.593014,116.6
12/15/1998,0.849082,0.595344,115.92
12/16/1998,0.850526,0.596641,116.1
12/17/1998,0.848249,0.594495,115.145
12/18/1998,0.850146,0.594477,116.225
12/19/1998,0.848608,0.593824,115.675
12/20/1998,0.850724,0.594336,115.44
12/21/1998,0.854822,0.595114,116.93
12/22/1998,0.854306,0.595877,116.065
12/23/1998,0.857708,0.597318,116.13
12/24/1998,0.859177,0.597764,116.04
12/25/1998,0.859177,0.597764,116.3
12/26/1998,0.858544,0.597728,116.275
12/27/1998,0.859057,0.597443,116.16
12/28/1998,0.85554,0.595984,115.415
12/29/1998,0.853847,0.597496,115.17
12/30/1998,0.85678,0.602736,113.65
12/31/1998,0.85678,0.608588,113.265
1/1/1999,0.85678,0.61106,113.45
1/2/1999,0.853134,0.603191,113.315
1/3/1999,0.847062,0.602628,113.48
1/4/1999,0.847494,0.604011,111.29
1/5/1999,0.85168,0.603719,112.35
1/6/1999,0.857082,0.605474,111.14
1/7/1999,0.858406,0.608874,111.44
1/8/1999,0.863894,0.609515,110.85
1/9/1999,0.864304,0.609756,110.36
1/10/1999,0.864192,0.609496,109.46
1/11/1999,0.869414,0.613666,112.12
1/12/1999,0.855358,0.606502,112.365
1/13/1999,0.857817,0.605932,113.655
1/14/1999,0.857449,0.603409,112.88
1/15/1999,0.865202,0.605896,114.375
1/16/1999,0.864342,0.606281,114.25
1/17/1999,0.862404,0.60487,114.33
1/18/1999,0.861734,0.603902,113.92
1/19/1999,0.864006,0.605739,113.47
1/20/1999,0.863782,0.606888,112.88
1/21/1999,0.861586,0.605345,113.715
1/22/1999,0.863372,0.604522,114.57
1/23/1999,0.863372,0.604193,114.67
1/24/1999,0.862776,0.6031,114.33
1/25/1999,0.864118,0.602482,113.66
1/26/1999,0.868206,0.604814,114.455
1/27/1999,0.87604,0.607018,115.685
1/28/1999,0.878079,0.607386,116.205
1/29/1999,0.88005,0.60807,116.245
1/30/1999,0.8747,0.60709,115.8975
1/31/1999,0.881135,0.608643,115.4
2/1/1999,0.883216,0.60781,113.05
2/2/1999,0.882028,0.610818,112.235
2/3/1999,0.886368,0.610799,113.335
2/4/1999,0.884212,0.609106,112.885
2/5/1999,0.887076,0.616942,113.175
2/6/1999,0.886564,0.617846,113.035
2/7/1999,0.889244,0.612407,113.705
2/8/1999,0.883509,0.610072,114.615
2/9/1999,0.883197,0.612952,115.14
2/10/1999,0.883704,0.615802,114.185
2/11/1999,0.889324,0.615176,114.405
2/12/1999,0.884604,0.612238,114.275
2/13/1999,0.885112,0.612258,114.035
2/14/1999,0.889442,0.613252,115.055
2/15/1999,0.893934,0.613196,117.795
2/16/1999,0.890036,0.611284,118.635
2/17/1999,0.889482,0.611527,119.645
2/18/1999,0.895055,0.612407,120.08
2/19/1999,0.905346,0.616314,121.175
2/20/1999,0.90629,0.616428,120.975
2/21/1999,0.907853,0.616922,121.56
2/22/1999,0.909711,0.618659,120.99
2/23/1999,0.90996,0.623383,121.43
2/24/1999,0.906084,0.62422,120.415
2/25/1999,0.908224,0.624493,119.46
2/26/1999,0.907112,0.625215,119.15
2/27/1999,0.905797,0.625136,119.225
2/28/1999,0.910291,0.622898,119.285
3/1/1999,0.918484,0.62135,120.445
3/2/1999,0.91638,0.618544,121.265
3/3/1999,0.92115,0.621272,123.105
3/4/1999,0.922978,0.621658,122.865
3/5/1999,0.922978,0.623412,122.745
3/6/1999,0.92366,0.62352,122.775
3/7/1999,0.918147,0.622026,121.785
3/8/1999,0.919329,0.621253,121.435
3/9/1999,0.913159,0.616105,120.32
3/10/1999,0.917432,0.61495,120.145
3/11/1999,0.914704,0.61177,119.645
3/12/1999,0.91701,0.61362,118.83
3/13/1999,0.917432,0.613308,119.1125
3/14/1999,0.913868,0.615346,118.085
3/15/1999,0.919582,0.6162,117.87
3/16/1999,0.91054,0.614402,118.595
3/17/1999,0.908059,0.613723,118.17
3/18/1999,0.915122,0.614194,117.245
3/19/1999,0.91781,0.613864,117.565
3/20/1999,0.918232,0.614156,117.255
3/21/1999,0.91916,0.614534,117.745
3/22/1999,0.91781,0.614826,118.38
3/23/1999,0.915332,0.610575,117.585
3/24/1999,0.9184,0.611565,118.085
3/25/1999,0.924172,0.616162,119.24
3/26/1999,0.92844,0.616143,120.315
3/27/1999,0.930125,0.616219,120.395
3/28/1999,0.930492,0.617512,120.09
3/29/1999,0.931966,0.619156,120.2
3/30/1999,0.931402,0.620155,119.15
3/31/1999,0.928462,0.621253,119.365
4/1/1999,0.928032,0.623539,120.57
4/2/1999,0.923318,0.623752,120.55
4/3/1999,0.926484,0.623616,120.615
4/4/1999,0.929757,0.623461,121.47
4/5/1999,0.931836,0.628773,121.145
4/6/1999,0.926484,0.627058,121.075
4/7/1999,0.925198,0.623286,120.77
4/8/1999,0.927515,0.62282,121.12
4/9/1999,0.923574,0.622074,120.92
4/10/1999,0.924556,0.621794,120.725
4/11/1999,0.921786,0.618965,120.055
4/12/1999,0.926354,0.619368,120.415
4/13/1999,0.925626,0.61797,119.125
4/14/1999,0.926913,0.61979,118.92
4/15/1999,0.936461,0.62135,118.205
4/16/1999,0.934448,0.619867,117.865
4/17/1999,0.934972,0.619867,117.855
4/18/1999,0.939629,0.618754,118.04
4/19/1999,0.938658,0.618984,118.025
4/20/1999,0.942463,0.622064,119.16
4/21/1999,0.942774,0.622296,119.945
4/22/1999,0.939629,0.618716,119.485
4/23/1999,0.942418,0.618926,119.205
4/24/1999,0.942418,0.619387,119.215
4/25/1999,0.942196,0.619387,118.955
4/26/1999,0.940247,0.619906,119.7
4/27/1999,0.937164,0.617914,119.115
4/28/1999,0.942552,0.619714,119.055
4/29/1999,0.943842,0.620559,119.58
4/30/1999,0.945046,0.621524,119.475
5/1/1999,0.946029,0.621292,119.455
5/2/1999,0.944554,0.620732,119.765
5/3/1999,0.945046,0.620174,120.915
5/4/1999,0.937822,0.613723,120.875
5/5/1999,0.925733,0.610724,120.655
5/6/1999,0.926698,0.611976,120.63
5/7/1999,0.929454,0.613686,120.755
5/8/1999,0.929714,0.613629,120.9225
5/9/1999,0.931186,0.614572,120.815
5/10/1999,0.92993,0.616466,120.935
5/11/1999,0.937734,0.617608,120.88
5/12/1999,0.939452,0.617646,121.58
5/13/1999,0.937339,0.618296,122.165
5/14/1999,0.937252,0.617837,122.725
5/15/1999,0.938218,0.61738,122.9625
5/16/1999,0.937427,0.61776,123.185
5/17/1999,0.935498,0.616846,123.005
5/18/1999,0.939629,0.61797,124.22
5/19/1999,0.939452,0.620098,124.28
5/20/1999,0.944064,0.622568,123.915
5/21/1999,0.945224,0.624025,124.025
5/22/1999,0.945694,0.624493,124.1275
5/23/1999,0.945403,0.625117,123.83
5/24/1999,0.941354,0.624786,122.735
5/25/1999,0.947284,0.624434,121.985
5/26/1999,0.956526,0.626861,122.35
5/27/1999,0.956023,0.624708,120.79
5/28/1999,0.958589,0.62418,121.405
5/29/1999,0.957076,0.624103,121.735
5/30/1999,0.956068,0.62383,121.495
5/31/1999,0.958498,0.623616,121.07
6/1/1999,0.964646,0.62079,120.95
6/2/1999,0.964646,0.62253,121.52
6/3/1999,0.969932,0.621948,121.675
6/4/1999,0.963809,0.621002,122.195
6/5/1999,0.963392,0.621156,122.375
6/6/1999,0.971487,0.622296,120.96
6/7/1999,0.962603,0.623908,121.24
6/8/1999,0.955932,0.623558,119.275
6/9/1999,0.954426,0.62421,118.885
6/10/1999,0.952426,0.621292,118.455
6/11/1999,0.951158,0.618448,117.925
6/12/1999,0.952018,0.619195,118.07
6/13/1999,0.956709,0.620174,120.39
6/14/1999,0.961538,0.624942,120.415
6/15/1999,0.96609,0.62907,120.365
6/16/1999,0.96768,0.628003,119.93
6/17/1999,0.96857,0.627471,119.675
6/18/1999,0.960846,0.626154,120.515
6/19/1999,0.961585,0.62639,120.575
6/20/1999,0.965484,0.628378,122.22
6/21/1999,0.96796,0.629386,121.83
6/22/1999,0.969603,0.632591,122.045
6/23/1999,0.96679,0.633182,121.98
6/24/1999,0.956892,0.629366,121.54
6/25/1999,0.958452,0.630378,121.445
6/26/1999,0.959348,0.630865,121.4475
6/27/1999,0.961908,0.631752,121.215
6/28/1999,0.966137,0.632371,121.065
6/29/1999,0.968288,0.63476,120.915
6/30/1999,0.967212,0.633574,120.87
7/1/1999,0.976992,0.634417,121.06
7/2/1999,0.975848,0.633112,120.97
7/3/1999,0.97561,0.633914,121.025
7/4/1999,0.977374,0.634276,122.4
7/5/1999,0.978618,0.637105,122.105
7/6/1999,0.977278,0.640882,122.115
7/7/1999,0.981402,0.642054,122.535
7/8/1999,0.980392,0.643998,122.54
7/9/1999,0.980344,0.645682,122.255
7/10/1999,0.981595,0.645349,122.405
7/11/1999,0.986194,0.644081,122.205
7/12/1999,0.983623,0.642591,121.6
7/13/1999,0.982946,0.641787,120.935
7/14/1999,0.978426,0.638325,120.585
7/15/1999,0.980008,0.638162,120.835
7/16/1999,0.980344,0.639488,120.805
7/17/1999,0.97948,0.639488,120.975
7/18/1999,0.985513,0.64154,119.96
7/19/1999,0.963623,0.635586,118.39
7/20/1999,0.955704,0.635668,118.905
7/21/1999,0.952154,0.632511,117.88
7/22/1999,0.952064,0.632092,116.54
7/23/1999,0.949712,0.633492,116.705
7/24/1999,0.949352,0.633614,116.795
7/25/1999,0.938879,0.629248,116.405
7/26/1999,0.940336,0.628634,116.52
7/27/1999,0.941531,0.628634,116.045
7/28/1999,0.93576,0.62422,115.395
7/29/1999,0.934886,0.617322,115.17
7/30/1999,0.933576,0.616694,114.555
7/31/1999,0.933228,0.616618,114.555
8/1/1999,0.937427,0.6182,114.31
8/2/1999,0.93835,0.618716,115.295
8/3/1999,0.928548,0.6162,114.655
8/4/1999,0.926913,0.618104,114.32
8/5/1999,0.930708,0.618908,114.565
8/6/1999,0.934404,0.621736,114.84
8/7/1999,0.93301,0.621524,115.145
8/8/1999,0.934972,0.622878,115.28
8/9/1999,0.931316,0.619809,114.78
8/10/1999,0.935935,0.620347,115.02
8/11/1999,0.939982,0.621698,115.78
8/12/1999,0.937471,0.620501,114.935
